OBJECTID,FEATURETYPE,NAME,CLASS,OPERATOR,OWNER,SITEADDRESS,SITESUBURB,POSTCODE,STATE,STATUS,GENERATIONTYPE,PRIMARYFUELTYPE,PRIMARYSUBFUELTYPE,GENERATIONMW,GENERATORNUMBER,FEATURERELIABILITY,FEATURESOURCE,ATTRIBUTERELIABILITY,ATTRIBUTESOURCE,PLANIMETRICACCURACY,SPATIALACCURACY,METADATACOMMENT,METADATALINK1,RESTRICTIONS,REVISED,ENO,TEXTNOTE
343,Power Station,Lower Rubicon Power Station,Renewable,AGL Energy Pty Ltd,AGL Energy Pty Ltd,Rubicon Road,,,VICTORIA,Operational,Hydroelectric (Gravity),Water,,2.7,1,1/1/07,murrindindi_2007jan26_air_vis_50cm_mga55,31/7/12,AEMO Generator List,1,5,,,,11/9/12,,
344,Power Station,Royston Power Station,Renewable,AGL Energy Pty Ltd,AGL Energy Pty Ltd,,,,VICTORIA,Operational,Hydroelectric (Gravity),Water,,0.9,1,1/1/07,murrindindi_2007jan26_air_vis_50cm_mga55,31/7/12,AEMO Generator List,1,5,,,,11/9/12,,
345,Power Station,Rubicon Falls Power Station,Renewable,AGL Energy Pty Ltd,AGL Energy Pty Ltd,,,,VICTORIA,Operational,Hydroelectric (Gravity),Water,,0.3,1,1/1/07,murrindindi_2007jan26_air_vis_50cm_mga55,31/7/12,AEMO Generator List,1,5,,,,11/9/12,,
346,Power Station,Leonards Hill Power Station,Renewable,,Hepburn Community Wind Park Co-operative Ltd,Ballan-Daylesford Road,Leonards Hill,3461,VICTORIA,Operational,Wind Turbine,Wind,,4.1,2,1/1/08,mt-alexander-hepburn_2008dec21_air_vis_35cm_mga55,31/7/12,AEMO Generator List,1,5,,,,11/9/12,,
347,Power Station,Box Hill Power Station,Renewable,,AGL Energy,,Armidale,2350,NEW SOUTH WALES,Proposed,Wind Turbine,Wind,,25,,1/1/09,Armidale_2009_09_10cm,31/7/12,AEMO Generator List,2,1,Location may be wrong,,,11/9/12,,
348,Power Station,Highbury Power Station,Renewable,,EDL LFG SA Pty Ltd,Halls Road,Highbury,5089,SOUTH AUSTRALIA,Operational,Spark Ignition Reciprocating Engine,Biogas,Landfill Methane,1,1,1/1/11,2011_Adelaide_MtLofty_Ranges_50cm_EdMask_MGA54,31/7/12,AEMO Generator List,2,5,,,,14/9/12,,
349,Power Station,Tea Tree Gully Power Station,Renewable,,EDL LFG SA Pty Ltd,Smart Road,St Agnes,5097,SOUTH AUSTRALIA,Operational,Spark Ignition Reciprocating Engine,Biogas,Landfill Methane,1,1,1/1/11,2011_Adelaide_MtLofty_Ranges_50cm_EdMask_MGA54,31/7/12,AEMO Generator List,2,5,,,,14/9/12,,
350,Power Station,Port Stanvac Power Station,Non-Renewable,,Infratil Energy Australia Pty Ltd,Refinery Road,Lonsdale,5160,SOUTH AUSTRALIA,Operational,Compression Reciprocating Engine,Distillate,,57.6,36,1/1/09,CoastalBays_AdelaideMetro_2009_50cm_MGA54,31/7/12,AEMO Generator List,2,5,Built on the old site of Lonsdale PS. Peaking power station,,,14/9/12,,
351,Power Station,Maryborough Power Station,Renewable,,MSF Sugar,116 Kent Street,Maryborough,4650,QUEENSLAND,Operational,Steam Super Critical,Biomass,Bagasse,7.5,,1/1/02,Maryborough_9446_60cm_2002,31/7/12,AEMO Generator List,2,4,"Point on facility, don't know exact location of generator",,,14/9/12,,
352,Power Station,Stapylton Green Energy Power Station,Renewable,,Stapylton Green Energy,Rossmanns Road,Stapylton,4207,QUEENSLAND,Operational,Steam Subcritical,Biomass,Wood Waste,4.8,,1/1/02,Beenleigh_9542_60cm_2002,31/7/12,AEMO Generator List,2,4,"Not sure if location is correct, imagery not sharp enough.  Definitely the right landfill.",,,14/9/12,,
353,Power Station,Bremer Bay Wind Turbine,Renewable,,Verve Energy,,Bremer Bay,,WESTERN AUSTRALIA,Operational,Wind Turbine,Wind,,0.6,1,1/1/06,BREMER_BAY_TOWNSITE_JAN_2006_MOSAIC.ECW,1/1/12,Verve Energy Website,2,5,,,,17/9/12,,
354,Power Station,Bremer Bay Diesel Backup Power Station,Non-Renewable,,Verve Energy,,Bremer Bay,,WESTERN AUSTRALIA,Operational,,Distillate,,1.3,1,1/1/06,BREMER_BAY_TOWNSITE_JAN_2006_MOSAIC.ECW,1/1/12,Verve Energy Website,2,5,,,,17/9/12,,
355,Power Station,Coral Bay Wind Turbines,Renewable,,Verve Energy,,Coral Bay,,WESTERN AUSTRALIA,Operational,Wind Turbine,Wind,,0.83,3,1/1/02,CORAL_BAY_TOWNSITE_MOSAIC.ECW,1/1/12,Verve Energy Website,2,5,,,,17/9/12,,
356,Power Station,Coral Bay Diesel Backup Power Station,Non-Renewable,,Verve Energy,,Coral Bay,,WESTERN AUSTRALIA,Operational,,Distillate,,2.24,8,1/1/02,CORAL_BAY_TOWNSITE_MOSAIC.ECW,1/1/12,Verve Energy Website,2,5,,,,17/9/12,,
357,Power Station,Denham Wind Turbines,Renewable,,Verve Energy,,Denham,,WESTERN AUSTRALIA,Operational,Wind Turbine,Wind,,0.92,4,1/1/10,Denham_Townsite_Oct_2010_Mosaic,1/1/12,Verve Energy Website,2,5,,,,17/9/12,,
358,Power Station,Denham Diesel Backup Power Station,Non-Renewable,,Verve Energy,,Denham,,WESTERN AUSTRALIA,Operational,,Distillate,,1.6,3,1/1/10,Denham_Townsite_Oct_2010_Mosaic,1/1/12,Verve Energy Website,2,5,,,,17/9/12,,
359,Power Station,Woodman Point Power Station,Renewable,Water Corporation,Water Corporation,,Munster,,WESTERN AUSTRALIA,Operational,,Biogas,Sewage Methane,1.8,,1/1/08,Metro_Central_2009_Mosaic,1/5/09,Water Corporation Website,2,4,Not sure if location is correct but point definitely at the Water Treatment Plant,,,18/9/12,,
360,Power Station,Henderson Power Station,Renewable,,Waste Gas Resources,,Henderson,,WESTERN AUSTRALIA,Operational,,Biogas,Landfill Methane,3.2,3,1/1/08,Metro_Central_2009_Mosaic,18/9/12,City of Cockburn Website,2,5,,,,18/9/12,,
361,Power Station,Tamala Park Power Station,Renewable,,Landfill Gas and Power Pty Ltd,,Tamala Park,,WESTERN AUSTRALIA,Operational,,Biogas,Landfill Methane,4.65,,1/1/05,WANNEROO_NORTH_TOWNSITE_JAN_2005_MOSAIC.ECW,18/9/12,Landfill Gas and Power Website,2,5,,,,18/9/12,,
362,Power Station,Mandurah Power Station,Renewable,,,,Mandurah,,WESTERN AUSTRALIA,Operational,,Biogas,Sewage Methane,1.3,,1/1/08,Metro_South_2009_Mosaic,1/1/10,WA Finance website,2,3,"Point placed at sewage treatment plant, don't know exact location of generator",,,18/9/12,,
363,Power Station,Rockingham Power Station,Renewable,,AGL Energy Pty Ltd,Millar Road,Rockingham,,WESTERN AUSTRALIA,Operational,,Biogas,Landfill Methane,2.1,,1/1/08,Metro_Central_2009_Mosaic,11/9/09,AGL Website,2,5,,,,18/9/12,,
364,Power Station,South Cardup (Shale Road Landfill) Power Station,Renewable,Landfill Management Services,Western Australian Landfill Services,,South Cardup,,WESTERN AUSTRALIA,Operational,,Biogas,Landfill Methane,3.3,3,1/1/08,Metro_Central_2009_Mosaic,1/1/12,SITA Website,2,5,,,,18/9/12,,
365,Power Station,Cue Power Station,Non-Renewable,,Energy Developments,,Cue,,WESTERN AUSTRALIA,Operational,,Distillate,,0.8,1,1/1/05,CUE_TOWNSITE_JUL_2005_MOSAIC.ECW,1/1/10,WA Finance Website,2,5,,,,19/9/12,,
366,Power Station,Sandstone Power Station,Non-Renewable,,Energy Developments,,Sandstone,,WESTERN AUSTRALIA,Operational,,Distillate,,0.4,,1/1/05,SANDSTONE_TOWNSITE_JUL_2005_MOSAIC.ECW,1/1/10,WA Finance Website,2,5,,,,19/9/12,,
367,Power Station,Nullagine Solar Farm,Renewable,Horizon Power,Horizon Power,,Nullagine,,WESTERN AUSTRALIA,Operational,Solar Photovoltaic,Solar,Photovoltaic,0.2,900,1/1/11,Nullagine_Townsite_Apr_2011_Mosaic,1/1/12,Horizon Power Website,2,5,Solar farm is backed up by diesel generator,,,20/9/12,,
368,Power Station,Nullagine Diesel Backup Power Station,Non-Renewable,Horizon Power,Horizon Power,,Nullagine,,WESTERN AUSTRALIA,Operational,,Distillate,,0.96,,1/1/11,Nullagine_Townsite_Apr_2011_Mosaic,1/1/12,Horizon Power,2,5,Diesel backup for the solar farm,,,20/9/12,,
369,Power Station,Marble Bar Solar Farm,Renewable,Horizon Power,Horizon Power,,Marble Bar,,WESTERN AUSTRALIA,Operational,Solar Photovoltaic,Solar,Photovoltaic,0.3,1350,1/1/11,Marble_Bar_Townsite_Apr_2011_Mosaic,1/1/12,Horizon Power,2,5,,,,20/9/12,,
370,Power Station,Marble Bar Diesel Backup Power Station,Non-Renewable,Horizon Power,Horizon Power,,Marble Bar,,WESTERN AUSTRALIA,Operational,,Distillate,,1.28,,1/1/11,Marble_Bar_Townsite_Apr_2011_Mosaic,1/1/12,Horizon Power,2,5,Diesel backup for the solar farm,,,20/9/12,,
371,Power Station,Derby Power Station,Non-Renewable,,Energy Developments Ltd,,Derby,,WESTERN AUSTRALIA,Operational,,Natural Gas,,12.53,,1/1/07,DERBY_TOWNSITE_JUN_2007_MOSAIC.ECW,1/1/11,Energy Developments Website,2,5,,,,20/9/12,,
372,Power Station,Fitzroy Crossing Power Station,Non-Renewable,,Energy Developments Ltd,,Fitzroy Crossing,,WESTERN AUSTRALIA,Operational,,Natural Gas,,4.06,,1/1/01,FITZROY_CROSSING_TOWNSITE_MOSAIC.ECW,1/1/11,Energy Developments Website,2,5,,,,20/9/12,,
373,Power Station,Halls Creek Power Station,Non-Renewable,,Energy Developments Ltd,,Halls Creek,,WESTERN AUSTRALIA,Operational,,Natural Gas,,3.69,,1/1/02,HALLS_CREEK_TOWNSITE_2002_MOSAIC.ECW,1/1/11,Energy Developments Website,2,5,,,,20/9/12,,
374,Power Station,Warmun Power Station,Non-Renewable,,Energy Developments Ltd,,Warmun,,WESTERN AUSTRALIA,Operational,,Distillate,,1.3,6,1/1/11,Warmun_Aboriginal_Community_Mar_2011_Mosaic,1/1/10,WA Finance Website,2,5,,,,20/9/12,,
375,Power Station,Kununurra Power Station,Non-Renewable,,Horizon Power,Bandicoot Drive,Kununurra,,WESTERN AUSTRALIA,Operational,,Distillate,,12.4,,1/1/11,Kununurra_Townsite_Jun_2011_Mosaic,1/1/10,WA Finance Website,2,5,"May have been decommissioned.  Standy power station, used only if power from ord river hydro insufficient",,,20/9/12,,
376,Power Station,Laverton Power Station,Non-Renewable,,Energy Developments,,Laverton,,WESTERN AUSTRALIA,Operational,,Distillate,,1.5,1,1/1/02,LAVERTON_TOWNSITE_MOSAIC.ECW,1/1/10,WA Finance Website,3,1,Point placed on town.  Location of generator unknown,,,19/9/12,,
377,Power Station,Exmouth Power Station,Non-Renewable,,Burns and Roe Worley,Welch Street,Exmouth,,WESTERN AUSTRALIA,Operational,,Natural Gas,,8,7,1/1/03,EXMOUTH_TOWNSITE_JUL_2003_MOSAIC.ECW,1/6/04,Energy News Bulletin Website,3,5,,,,18/9/12,,
378,Power Station,Tableland Power Station,Renewable,,MSF Sugar,Springmount Road,Arriga,4880,QUEENSLAND,Operational,Steam Super Critical,Biomass,Bagasse,7,,1/1/03,Atherton_7963_60cm_2003,31/7/12,AEMO Generator List,3,4,"Point on facility, don't know exact location of generator",,,14/9/12,,
379,Power Station,South Johnstone Power Station,Renewable,,MSF Sugar,Innisfail Japoon Road,South Johnstone,4859,QUEENSLAND,Operational,Steam Super Critical,Biomass,Bagasse,20,,1/1/04,Tully_8026_60cm_2004,31/7/12,AEMO Generator List,3,4,"Point on facility, don't know exact location of generator",,,14/9/12,,
380,Power Station,Mulgrave Power Station,Renewable,,MSF Sugar,Gordon Street,Gordonvale,4865,QUEENSLAND,Operational,Steam Super Critical,Biomass,Bagasse,13,,1/1/04,Bartle_Frere_8063_60cm_2004,31/7/12,AEMO Generator List,3,4,"Point on facility, don't know exact location of generator",,,14/9/12,,
381,Power Station,Blue Lake Milling Power Plant,Non-Renewable,,Vibe Energy Pty Ltd,Pigeon Flat Road,Bordertown,5268,SOUTH AUSTRALIA,Operational,Compression Reciprocating Engine,Distillate,,0.5,1,1/1/08,SouthEast_RGB_Feb08_90cm_GDA94_MGA54,31/7/12,AEMO Generator List,4,4,"Point on facility, not sure of exact location of generator",,,14/9/12,,
382,Power Station,Tatiara Meats Power Station,Non-Renewable,,Vibe Energy Pty Ltd,Meatworks Road,Bordertown,5268,SOUTH AUSTRALIA,Operational,Compression Reciprocating Engine,Distillate,,0.5,1,1/1/08,SouthEast_RGB_Feb08_90cm_GDA94_MGA54,31/7/12,AEMO Generator List,4,4,"Point on facility, not sure of exact location of generator",,,14/9/12,,
383,Power Station,Kalumburu Power Station,Non-Renewable,,,,Kalumburu,,WESTERN AUSTRALIA,Operational,,Distillate,,0.7,5,1/1/07,KALUMBURU_ABORIGINAL_COMMUNITY_MAY_2007_MOSAIC.ECW,30/6/10,WA Economic Regulation Authority,5,5,,,,20/9/12,,
384,Power Station,Ardyaloon Power Station,Non-Renewable,,Energy Developments Ltd,,Ardyaloon,,WESTERN AUSTRALIA,Operational,,Distillate,,0.8,6,1/1/07,DAMPIER_PENINSULAR_STUDY_AREA_NOV_2007_MOSAIC.ECW,1/1/10,WA Finance Website,5,5,,,,20/9/12,,
385,Power Station,Djarindjin Power Station,Non-Renewable,,Energy Developments Ltd,,Djarindjin,,WESTERN AUSTRALIA,Operational,,Distillate,,0.7,5,1/1/07,DAMPIER_PENINSULAR_STUDY_AREA_NOV_2007_MOSAIC.ECW,1/1/10,WA Finance Website,5,5,,,,20/9/12,,
386,Power Station,Beagle Bay Power Station,Non-Renewable,,Energy Developments Ltd,,Beagle Bay,,WESTERN AUSTRALIA,Operational,,Distillate,,0.7,5,1/1/07,DAMPIER_PENINSULAR_STUDY_AREA_NOV_2007_MOSAIC.ECW,1/1/10,WA Finance Website,5,5,,,,20/9/12,,
387,Power Station,Bidyadanga Power Station,Non-Renewable,,Energy Developments Ltd,,Lagrange,,WESTERN AUSTRALIA,Operational,,Distillate,,1.3,,1/1/05,BIDYADANGA_ABORIGINAL_COMMUNITY_APR_2005_MOSAIC.EC,1/1/10,WA Finance Website,5,5,,,,20/9/12,,
388,Power Station,Gascoyne Junction Power Station,Non-Renewable,,Energy Developments,,Gascoyne Junction,,WESTERN AUSTRALIA,Operational,,Distillate,,0.4,,1/1/10,Gascoyne_Junction_Dec_2010_Flood_Mosaic,1/1/10,WA Finance Website,5,4,,,,19/9/12,,
389,Power Station,Wiluna Power Station,Non-Renewable,,Energy Developments,,Wiluna,,WESTERN AUSTRALIA,Operational,,Distillate,,1.3,,1/1/05,WILUNA_TOWNSITE_OCT_2005_MOSAIC.ECW,1/1/10,WA Finance Website,5,5,,,,19/9/12,,
390,Power Station,Yalgoo Power Station,Non-Renewable,,Energy Developments,,Yalgoo,,WESTERN AUSTRALIA,Operational,,Distillate,,0.4,1,1/1/05,YALGOO_TOWNSITE_OCT_2005_MOSAIC.ECW,1/1/10,WA Finance Website,5,5,,,,19/9/12,,
392,Power Station,Carnarvon Power Station,Non-Renewable,,,Iles Road,Carnarvon,,WESTERN AUSTRALIA,Operational,,Natural Gas,,15,13,1/1/01,CARNARVON_BW_MOSAIC.ECW,1/3/10,WA EPA Website,5,5,Generation capacity may be wrong. Will be decommissioned around 2016/2017,,,18/9/12,,
393,Power Station,Mungullah Power Station,Non-Renewable,Horizon Power,Horizon Power,,Carnarvon,,WESTERN AUSTRALIA,Under Construction,,Natural Gas,,18,,1/1/07,SHARK_BAY_MARINE_PARK_WATERS_OCT_2007_MOSAIC.ECW,1/2/12,Horizon Power Website,5,5,Will replace the old Canarvon power station,,,18/9/12,,
394,Power Station,Exmouth Advanced Mini Wind Farm,Renewable,,,,,,WESTERN AUSTRALIA,Operational,Wind Turbine,Wind,,0.06,3,1/1/03,CARNARVON_EXMOUTH_COASTAL_MOSAIC.ECW,18/9/12,Gascoyne Development Commission Website,5,5,,,,18/9/12,,
395,Power Station,Worsley Power Station,Non-Renewable,,BHP,,,,WESTERN AUSTRALIA,Operational,,Coal,,120,,1/1/00,BUNBURY_COLLIE_MOSAIC.ECW,1/1/12,AC Engineering Website,5,5,This facility contains a coal fired power station and a gas fired generator.  The generation figure needs confirmation,,,18/9/12,,
396,Power Station,Kalbarri PV System,Renewable,,Verve Energy,,Kalbarri,,WESTERN AUSTRALIA,Operational,Solar Photovoltaic,Solar,Photovoltaic,0.02,16,1/1/02,KALBARRI_GERALDTON_COASTAL_MOSAIC.ECW,1/1/12,Verve Energy Website,5,5,,,,17/9/12,,
397,Power Station,Esperance Wind Farm Ten Mile Lagoon,Renewable,,Verve Energy,,Esperance,,WESTERN AUSTRALIA,Operational,Wind Turbine,Wind,,2.03,9,1/1/07,ESPERANCE_3230_CAUSEWAY_3229_JAN_2007_MOSAIC.ECW,1/1/12,Verve Energy Website,5,5,,,,17/9/12,,
398,Power Station,Muja B Power Station,Non-Renewable,,Verve Energy,,Muja,6225,WESTERN AUSTRALIA,Decommissioned,Steam Subcritical,Coal,Black Coal,120,,1/1/00,BUNBURY_COLLIE_MOSAIC.ECW,1/1/12,Verve Energy Website,5,5,"Shut down in 2009, due to be recomissioned in 2012; 12MW total from Renewable fuels (wood waste)- from all Muja power stations ",,,17/9/12,,
399,Power Station,Muja A Power Station,Non-Renewable,,Verve Energy,,Muja,6225,WESTERN AUSTRALIA,Decommissioned,Steam Subcritical,Coal,Black Coal,120,,1/1/00,BUNBURY_COLLIE_MOSAIC.ECW,1/1/12,Verve Energy Website,5,5,"Shut down in 2009, due to be recomissioned in 2012; 12MW total from Renewable fuels (wood waste)- from all Muja power stations ",,,17/9/12,,
400,Power Station,Boco Rock Power Station,Renewable,,Boco Rock Wind Farm Pty Ltd,,Boco,2631,NEW SOUTH WALES,Proposed,Wind Turbine,Wind,,270,,1/1/99,bombala.ecw,31/7/12,AEMO Generator List,5,2,,,,11/9/12,,
401,Power Station,Ben Lomond Power Station,Renewable,,AGL Energy,,Ben Lomond,2365,NEW SOUTH WALES,Proposed,Wind Turbine,Wind,,200,,1/1/01,guyra56prov.ecw,31/7/12,AEMO Generator List,5,3,Location estimated from preliminary environmental assessment,,,11/9/12,,
402,Power Station,Bannaby Gas Fired Power Station,Non-Renewable,,Snowy Hydro Ltd,,Bannaby,2580,NEW SOUTH WALES,Proposed,Open Cycle Gas Turbine,Natural Gas,,600,,1/1/98,burragograng.ecw,31/7/12,AEMO Generator List,5,2,Location estimated from rough map on Snowy Hydro website,,,11/9/12,,
403,Power Station,Bamarang Power Station,Non-Renewable,,Infratil Energy Australia Pty Ltd,,Bamarang,2540,NEW SOUTH WALES,Proposed,Open Cycle Gas Turbine,Natural Gas,,320,,1/1/01,kiama.ecw,31/7/12,AEMO Generator List,5,4,"Location from Delta Energy Report - Proposed Gas Turbine Power Station, Bamarang, Planning Focus Meeting",,,11/9/12,,
404,Power Station,Bango Wind Farm,Renewable,,Bango Wind Farm Pty Ltd,,Laverstock,2582,NEW SOUTH WALES,Proposed,Wind Turbine,Wind,,200,,1/1/01,Yass.ecw,31/7/12,AEMO Generator List,5,4,Location from Bango Wind Farm website,,,11/9/12,,
405,Power Station,Bankstown Sports Club Power Station,Non-Renewable,Bankstown Sports Club,Bankstown Sports Club,8 Greenfield Parade,Bankstown,2200,NEW SOUTH WALES,Operational,Compression Reciprocating Engine,Distillate,,2.1,,1/1/98,sydney.ecw,31/7/12,AEMO Generator List,5,4,"Point is on the Sports Club, don't know exact location of generator with facility",,,11/9/12,,
406,Power Station,Belconnen Power Station,Renewable,EDL LFG ACT Pty Ltd,EDL LFG ACT Pty Ltd,Parkwood Road,Macgregor,2615,AUSTRALIAN CAPITAL TERRITORY,Operational,Spark Ignition Reciprocating Engine,Biogas,Landfill Methane,1,1,1/1/01,brindabella.ecw,31/7/12,AEMO Generator List,5,5,,,,11/9/12,,
407,Power Station,Charlestown Square Cogeneration Power Station,Non-Renewable,GPT RE Limited,GPT RE Limited,Pearson Street,Charlestown,2290,NEW SOUTH WALES,Operational,Spark Ignition Reciprocating Engine,Natural Gas,,2.8,1,1/1/98,newcastle.ecw,31/7/12,AEMO Generator List,5,4,"Point on facility, not sure of exact location of generator",,,11/9/12,,
408,Power Station,Club Merrylands Power Station,Non-Renewable,Club Merrylands,Club Merrylands,14 Military Road,Merrylands,2160,NEW SOUTH WALES,Operational,,Distillate,,0.8,1,1/1/98,sydney.ecw,31/7/12,AEMO Generator List,5,2,"Point is on the RSL Club, may not be the right club.",,,11/9/12,,
409,Power Station,Erskine Park Power Station,Non-Renewable,,Cogent Energy,Lockwood Road,Erskine Park,2759,NEW SOUTH WALES,Operational,Spark Ignition Reciprocating Engine,Natural Gas,,0.4,1,1/1/98,penrith.ecw,31/7/12,AEMO Generator List,5,5,,,,11/9/12,,
410,Power Station,Kooragang Power Station,Renewable,Ausgrid,Ausgrid,,Kooragang,2304,NEW SOUTH WALES,Operational,Wind Turbine,Wind,,0.6,1,1/1/98,newcastle.ecw,31/7/12,AEMO Generator List,5,5,,,,11/9/12,,
411,Power Station,Kalbarri Wind Farm,Renewable,,Verve Energy,,,,WESTERN AUSTRALIA,Operational,Wind Turbine,Wind,,1.7,2,1/1/00,AJANA_MOSAIC.ECW,1/1/12,Verve Energy Website,8,5,,,,17/9/12,,
412,Power Station,Wodgina Power Station,Non-Renewable,,Energy Developments Ltd,,,,WESTERN AUSTRALIA,Operational,,Natural Gas,,13.7,,1/1/01,WODGINA_2655_JUL_2001_MOSAIC.ECW,1/1/11,Energy Developments Website,8,5,,,,20/9/12,,
413,Power Station,Savannah Nickel Mine Power Station,Non-Renewable,,Contract Power,,,,WESTERN AUSTRALIA,Operational,,Distillate,,10.8,,1/1/04,Turkey_Creek_4563_Jul_2004_Mosaic,1/1/10,WA Finance Website,10,5,Also called Sally Malay Nickel Mine,,,20/9/12,,
414,Power Station,Meekatharra Power Station,Non-Renewable,,Energy Developments,Gascoyne Junction Road,Meekatharra,,WESTERN AUSTRALIA,Operational,,Distillate,,2.9,,1/1/05,Meekatharra_2544_Jan_2005_Mosaic,1/1/10,WA Finance Website,10,5,,,,19/9/12,,
415,Power Station,Leonora Power Station,Non-Renewable,,Energy Developments,Rajah Street,Leonora,,WESTERN AUSTRALIA,Operational,,Natural Gas,,4.43,7,1/1/08,Leonora_3140_Dec_2008_Mosaic,1/1/10,WA Finance Website,10,5,,,,19/9/12,,
416,Power Station,Menzies Power Station,Non-Renewable,,,,Menzies,,WESTERN AUSTRALIA,Operational,,Distillate,,0.3,1,1/1/10,Riverina_3038_Aug_2010_Mosaic,1/1/10,WA Finance Website,10,1,Point placed on town.  Location of generator unknown,,,19/9/12,,
417,Power Station,Onslow Power Station,Non-Renewable,,,,Onslow,,WESTERN AUSTRALIA,Operational,Spark Ignition Reciprocating Engine,Natural Gas,,3.6,6,1/1/01,Onslow_1954_Sep_2001,1/1/11,Winslade Website,10,3,"Not sure about location, imagery is not very clear",,,18/9/12,,
418,Power Station,Hopetoun Diesel Backup Power Station,Non-Renewable,,Verve Energy,,Hopetoun,,WESTERN AUSTRALIA,Operational,,Distillate,,1.3,,1/1/02,Ravensthorpe_2930_Mar_2002_Mosaic,1/1/12,Verve Energy Website,10,5,,,,17/9/12,,
419,Power Station,Hopetoun Wind Turbines,Renewable,,Verve Energy,,Hopetoun,,WESTERN AUSTRALIA,Operational,Wind Turbine,Wind,,1.2,2,1/1/02,Ravensthorpe_2930_Mar_2002_Mosaic,1/1/12,Verve Energy Website,10,5,,,,17/9/12,,
420,Power Station,Camballin Power Station,Non-Renewable,,Energy Developments Ltd,,Looma,,WESTERN AUSTRALIA,Operational,,Natural Gas,,1.04,,1/1/07,NERRIMA_3761_JUN_2007_MOSAIC.ECW,1/1/11,Energy Developments Website,10,5,,,,20/9/12,,
421,Power Station,Cawse Nickel Mine Power Station,Non-Renewable,,,,,,WESTERN AUSTRALIA,Operational,,Natural Gas,,16.5,,1/1/06,BARDOC_3137_NOV_2006_MOSAIC.ECW,1/1/10,WA Finance Website,10,1,Power station is at Cawse Nickel Mine but point location may be totally wrong,,,19/9/12,,
422,Power Station,Buronga Power Station,Non-Renewable,,International Power Pty Ltd,,Wentworth,,NEW SOUTH WALES,Proposed,Open Cycle Gas Turbine,Natural Gas,,150,,1/1/97,mildura.ecw,31/7/12,AEMO Generator List,10,2,Estimated from map in heritage assessment,,,11/9/12,,
423,Power Station,Macarthur Wind Farm,Renewable,,AGL Energy Pty Ltd,,Macarthur,3286,VICTORIA,Under Construction,Wind Turbine,Wind,,420,140,1/1/03,Glenelg_HopkinsCMA_125cm_2003,31/7/12,AEMO Generator List,,5,Under construction - completion 2011,NAS\eg\built_env\infrastructure\Energy\Electricity\Power Stations\Photos\,,11/9/12,,
424,Power Station,Glenorchy Power Station,Renewable,,AGL Energy Pty Ltd,Jackson Street,Glenorchy,7010,TASMANIA,Operational,Spark Ignition Reciprocating Engine,Biogas,Landfill Methane,1.6,2,1/1/09,Revision_Ortho_Central,31/7/12,AEMO Generator List,,5,,,,11/9/12,,
425,Power Station,Hobart Power Station,Renewable,,AGL Energy Pty Ltd,McRobies Road,South Hobart,7004,TASMANIA,Operational,Spark Ignition Reciprocating Engine,Biogas,Landfill Methane,1,1,1/1/09,Revision_Ortho_Central,31/7/12,AEMO Generator List,,5,,,,11/9/12,,
426,Power Station,Musselroe Power Station,Renewable,,Hydro Tasmania Wind Operations Pty Ltd,,,,TASMANIA,Under Construction,Wind Turbine,Wind,,168,56,1/1/05,1398-268,31/7/12,AEMO Generator List,,5,,,,29/10/13,,
427,Power Station,Kings Canyon Power Station,Renewable,,Power and Water Corporation,,,,NORTHERN TERRITORY,Operational,Solar Photovoltaic,Solar,Photovoltaic,0.24,,1/1/06,06JAN25014442-S2AS-005598680020_01_P001,1/1/11,Power and Water Website,,5,,,,21/9/12,,
429,Power Station,Bodangora Wind Farm,Renewable,,Infigen Energy,,Bodangora,2820,NEW SOUTH WALES,Proposed,Wind Turbine,Wind,,100,,1/1/09,sp5_384415_220709,31/7/12,AEMO Generator List,9,2,Estimated from map in environmental assessment,,,11/9/12,,
430,Power Station,Broken Hill Power Station,Renewable,,AGL Energy,,Cubba,2835,NEW SOUTH WALES,Proposed,Solar Photovoltaic,Solar,Photovoltaic,53,,1/1/08,sp5_376413_101208,31/7/12,AEMO Generator List,9,1,,,,11/9/12,,
431,Power Station,McArthur River Mine Power Station,Non-Renewable,,Energy Developments Ltd,,,,NORTHERN TERRITORY,Operational,,Natural Gas,,20.9,6,1/1/10,ALPSM2P5_ZONE53_2010,1/1/11,Energy Developments Website,9,5,,,,21/9/12,,
432,Power Station,UQ St Lucia Campus Solar Array,Renewable,University of Queensland,University of Queensland,Sir Fred Schonell Drive,St Lucia,,QUEENSLAND,Operational,Solar Photovoltaic,Solar,Photovoltaic,1.2,5000,1/1/09,Brisbane_Mosaic_15cm_MGA56_2009.ecw,21/8/12,Clean Energy Council Website,1,5,Panels on several campus buildings,,,7/11/12,,
433,Power Station,Perth Zoo Solar Power System,Renewable,Perth Zoo,Perth Zoo,20 Labouchere Road,South Perth,6151,WESTERN AUSTRALIA,Operational,Solar Photovoltaic,Solar,Photovoltaic,2.37,755,1/1/04,Metro_North_West_2005_Mosaic (Job_2266_Perth),18/7/12,Perth Zoo Website,1,4,Panels on several structures throughout the zoo,,,5/11/12,,
